name,group,sensitivity,type,default,default_redacted,target
ACCESS_TOKEN_EXPIRE_MINUTES,sicurezza,segreta,int,,True,configure_if_consumed
ADER_MICRO_RESIDUAL_THRESHOLD_CENTS,azienda-fiscale,configurazione,int,500,False,configure_if_consumed
ADMIN_EMAIL,sicurezza,configurazione,,,False,configure_if_consumed
ADMIN_PASSWORD,sicurezza,segreta,,,True,configure_if_consumed
ADMIN_PASSWORD_HASH,sicurezza,segreta,,,True,configure_if_consumed
ADMIN_PIN,sicurezza,segreta,,,True,configure_if_consumed
AI_L2_MAX_FINANCIAL_IMPACT,app-runtime,configurazione,,,False,configure_if_consumed
AI_L2_MIN_CONFIDENCE,app-runtime,configurazione,,,False,configure_if_consumed
ALGORITHM,app-runtime,configurazione,str,'HS256',False,configure_if_consumed
ALLOWED_EXTENSIONS,sicurezza,configurazione,str,"'.xml,.xlsx,.xls,.pdf,.csv'",False,configure_if_consumed
ALLOWED_HEADERS,sicurezza,configurazione,str,'*',False,configure_if_consumed
ALLOWED_METHODS,sicurezza,configurazione,str,'*',False,configure_if_consumed
ALLOWED_ORIGINS,sicurezza,configurazione,str,'*',False,configure_if_consumed
ALLOW_CREDENTIALS,sicurezza,configurazione,bool,True,False,configure_if_consumed
ANTHROPIC_API_KEY,ai,segreta,,,True,configure_if_consumed
ANTHROPIC_DOCUMENT_MODEL,ai,configurazione,,,False,configure_if_consumed
ANTHROPIC_MODEL,ai,configurazione,,,False,configure_if_consumed
APP_NAME,app-runtime,configurazione,str,'Azienda in Cloud ERP',False,configure_if_consumed
APP_VERSION,app-runtime,configurazione,str,'2.0.0',False,configure_if_consumed
AUDIT_BASE_URL,app-runtime,configurazione,,,False,configure_if_consumed
AUTH_TOKEN,test-tooling,segreta,,,True,configure_if_consumed
AZIENDA_BANCA,azienda-fiscale,configurazione,,,False,configure_if_consumed
AZIENDA_BIC,azienda-fiscale,configurazione,,,False,configure_if_consumed
AZIENDA_CAP,azienda-fiscale,configurazione,,,False,configure_if_consumed
AZIENDA_CF,azienda-fiscale,configurazione,,,False,configure_if_consumed
AZIENDA_CITTA,azienda-fiscale,configurazione,,,False,configure_if_consumed
AZIENDA_EMAIL,azienda-fiscale,configurazione,,,False,configure_if_consumed
AZIENDA_IBAN,azienda-fiscale,configurazione,,,False,configure_if_consumed
AZIENDA_INDIRIZZO,azienda-fiscale,configurazione,,,False,configure_if_consumed
AZIENDA_PEC,azienda-fiscale,configurazione,,,False,configure_if_consumed
AZIENDA_PIVA,azienda-fiscale,configurazione,,,False,configure_if_consumed
AZIENDA_PROVINCIA,azienda-fiscale,configurazione,,,False,configure_if_consumed
AZIENDA_RAGIONE_SOCIALE,azienda-fiscale,configurazione,,,False,configure_if_consumed
AZIENDA_TEL,azienda-fiscale,configurazione,,,False,configure_if_consumed
BACKEND_URL,app-runtime,configurazione,,,False,configure_if_consumed
BASE_URL,test-tooling,configurazione,,,False,configure_if_consumed
CACHE_TTL_SECONDS,app-runtime,configurazione,int,3600,False,configure_if_consumed
CHROMIUM_PATH,test-tooling,configurazione,,,False,configure_if_consumed
CORS_ALLOWED_ORIGINS,sicurezza,configurazione,str,'',False,configure_if_consumed
CORS_ORIGINS,sicurezza,configurazione,str,'*',False,configure_if_consumed
DATA_BACKEND,app-runtime,configurazione,str,'mongodb',False,configure_if_consumed
DB_NAME,app-runtime,configurazione,str,'Gestionale',False,configure_if_consumed
DEBUG,app-runtime,configurazione,bool,False,False,configure_if_consumed
DEFAULT_USER_EMAIL,app-runtime,configurazione,str,'admin@ceraldi.it',False,configure_if_consumed
DEFAULT_USER_ID,app-runtime,configurazione,str,'admin',False,configure_if_consumed
DEV,app-runtime,configurazione,,,False,configure_if_consumed
DRIVE_AVVISI_ESATTORIALI_FOLDER_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DRIVE_CARTE_FOLDER_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DRIVE_CEDOLINI_FOLDER_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DRIVE_CORRISPETTIVI_FOLDER_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DRIVE_DOCUMENT_INDEX_ROOT_FOLDER_ID,drive-sheets,configurazione,str,'1tmVu6fl7qhJbLcGCHT3wEQzrvFAElc9h',False,configure_if_consumed
DRIVE_ESTRATTI_ANNO_MINIMO,drive-sheets,configurazione,int,2026,False,configure_if_consumed
DRIVE_ESTRATTI_CONTO_FOLDER_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DRIVE_ESTRATTI_CONTO_FOLDER_IDS,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DRIVE_F24_FOLDER_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DRIVE_FATTURE_FOLDER_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DRIVE_FISCAL_ROOT_FOLDER_ID,drive-sheets,configurazione,str,'1f48bounfoOyHL_kqpHAp2GAnFfEpHvVa',False,configure_if_consumed
DRIVE_FOLDER_AVVISI_BONARI_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DRIVE_FOLDER_BONIFICI_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DRIVE_FOLDER_CARTELLE_ESATTORIALI_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DRIVE_FOLDER_CEDOLINI_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DRIVE_FOLDER_CORRISPETTIVI_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DRIVE_FOLDER_DICHIARAZIONI_IVA_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DRIVE_FOLDER_ESTRATTI_CONTO_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DRIVE_FOLDER_ESTRATTI_CONTO_IDS,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DRIVE_FOLDER_FATTURE_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DRIVE_FOLDER_QUIETANZE_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DRIVE_FOLDER_REGISTRY_JSON,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DRIVE_NOLEGGIO_FOLDER_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DRIVE_PAYPAL_FOLDER_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DRIVE_PRESENZE_FOLDER_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DRIVE_QUIETANZE_FOLDER_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DRIVE_VERBALI_FOLDER_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
DR_SOURCE_DB_NAME,transitorie-vietate-nel-target,configurazione,,,False,remove_after_verified_cutover
E2E_BASE_URL,test-tooling,configurazione,,,False,configure_if_consumed
E2E_FRONTEND_DIST,test-tooling,configurazione,,,False,configure_if_consumed
EMAIL_ADDRESS,gmail-email,configurazione,Optional[str],None,False,configure_if_consumed
EMAIL_APP_PASSWORD,gmail-email,segreta,Optional[str],,True,configure_if_consumed
EMAIL_PASSWORD,gmail-email,segreta,Optional[str],,True,configure_if_consumed
EMAIL_USER,gmail-email,configurazione,Optional[str],None,False,configure_if_consumed
ENABLE_ASYNC_IMPORTS,feature-job,configurazione,bool,True,False,configure_if_consumed
ENABLE_CACHING,feature-job,configurazione,bool,True,False,configure_if_consumed
ENABLE_DOCUMENT_AI,feature-job,configurazione,bool,False,False,configure_if_consumed
ENABLE_DRIVE_AVVISI_BONARI_SYNC,feature-job,configurazione,bool,True,False,configure_if_consumed
ENABLE_DRIVE_BONIFICI_SYNC,feature-job,configurazione,bool,False,False,configure_if_consumed
ENABLE_DRIVE_CARTELLE_ESATTORIALI_SYNC,feature-job,configurazione,bool,True,False,configure_if_consumed
ENABLE_DRIVE_CEDOLINI_SYNC,feature-job,configurazione,bool,True,False,configure_if_consumed
ENABLE_DRIVE_CORRISPETTIVI_SYNC,feature-job,configurazione,bool,True,False,configure_if_consumed
ENABLE_DRIVE_DICHIARAZIONI_IVA_SYNC,feature-job,configurazione,bool,False,False,configure_if_consumed
ENABLE_DRIVE_ESTRATTI_CONTO_SYNC,feature-job,configurazione,bool,True,False,configure_if_consumed
ENABLE_DRIVE_FATTURE_SYNC,feature-job,configurazione,bool,True,False,configure_if_consumed
ENABLE_DRIVE_QUIETANZE_SYNC,feature-job,configurazione,bool,True,False,configure_if_consumed
ENABLE_DRIVE_VERBALI_SYNC,feature-job,configurazione,bool,True,False,configure_if_consumed
ENABLE_EMAIL_F24_SYNC,feature-job,configurazione,bool,True,False,configure_if_consumed
ENABLE_EMAIL_VERBALI_SYNC,feature-job,configurazione,bool,True,False,configure_if_consumed
ENABLE_GMAIL_IMAP,feature-job,configurazione,bool,True,False,configure_if_consumed
ENABLE_SCHEDULER,feature-job,configurazione,bool,True,False,configure_if_consumed
ENABLE_SMTP_EMAIL,feature-job,configurazione,bool,False,False,configure_if_consumed
ENVIRONMENT,app-runtime,configurazione,str,'production',False,configure_if_consumed
ERP_BRIDGE_SECRET,app-runtime,segreta,,,True,configure_if_consumed
FAIL_FAST_SECRETS,app-runtime,segreta,,,True,configure_if_consumed
FISCAL_COMPANY_ID,azienda-fiscale,configurazione,str,'04523831214',False,configure_if_consumed
FONTS_DIR,app-runtime,configurazione,Path,Path('fonts'),False,configure_if_consumed
FROM_EMAIL,gmail-email,configurazione,Optional[str],None,False,configure_if_consumed
FRONTEND_URL,app-runtime,configurazione,Optional[str],None,False,configure_if_consumed
GEMINI_API_KEY,ai,segreta,Optional[str],,True,configure_if_consumed
GESTIONALE_MCP_API_BASE_URL,mcp,configurazione,,,False,configure_if_consumed
GESTIONALE_MCP_API_TOKEN,mcp,segreta,,,True,configure_if_consumed
GESTIONALE_MCP_HOST,mcp,configurazione,,,False,configure_if_consumed
GESTIONALE_MCP_ISSUER_URL,mcp,configurazione,,,False,configure_if_consumed
GESTIONALE_MCP_LOG_LEVEL,mcp,configurazione,,,False,configure_if_consumed
GESTIONALE_MCP_RESOURCE_SERVER_URL,mcp,configurazione,,,False,configure_if_consumed
GESTIONE_RISERVATA_CODE,app-runtime,configurazione,,,False,configure_if_consumed
GMAIL_ACCOUNT_AMMINISTRATIVO,gmail-email,configurazione,Optional[str],None,False,configure_if_consumed
GMAIL_APP_PASSWORD,gmail-email,segreta,Optional[str],,True,configure_if_consumed
GMAIL_APP_PASSWORD_AMMINISTRATIVO,gmail-email,segreta,Optional[str],,True,configure_if_consumed
GMAIL_EMAIL,gmail-email,configurazione,Optional[str],None,False,configure_if_consumed
GMAIL_IMAP_ENABLED,gmail-email,configurazione,bool,False,False,configure_if_consumed
GOOGLE_API_KEY,ai,segreta,Optional[str],,True,configure_if_consumed
GOOGLE_CLIENT_ID,app-runtime,configurazione,Optional[str],None,False,configure_if_consumed
GOOGLE_CLIENT_SECRET,app-runtime,segreta,Optional[str],,True,configure_if_consumed
GOOGLE_DRIVE_AVVISI_BONARI_FOLDER_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
GOOGLE_DRIVE_BONIFICI_FOLDER_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
GOOGLE_DRIVE_CARTELLE_ESATTORIALI_FOLDER_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
GOOGLE_DRIVE_CEDOLINI_FOLDER_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
GOOGLE_DRIVE_CORRISPETTIVI_FOLDER_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
GOOGLE_DRIVE_DICHIARAZIONI_IVA_FOLDER_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
GOOGLE_DRIVE_ESTRATTI_FOLDER_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
GOOGLE_DRIVE_ESTRATTI_FOLDER_IDS,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
GOOGLE_DRIVE_FATTURE_FOLDER_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
GOOGLE_DRIVE_QUIETANZE_FOLDER_ID,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
GOOGLE_DRIVE_SA_FILE,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
GOOGLE_DRIVE_SA_JSON,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
GOOGLE_DRIVE_SERVICE_ACCOUNT_JSON,drive-sheets,configurazione,Optional[str],None,False,configure_if_consumed
GOOGLE_REDIRECT_URI,app-runtime,configurazione,str,'/api/auth/google/callback',False,configure_if_consumed
